"","intercept","exposure","log_scale","param","model"
"204",0.0597209937122241,0.0293712582308266,0.0397087725944485,"se","weighted"
"205",NA,0.672822495915191,NA,"coef","coxfull"
"206",NA,0.0444843421294238,NA,"se","coxfull"
"207",NA,0.708949504472656,NA,"coef","coxweighted"
"208",NA,0.0622791976995102,NA,"se","coxweighted"
"209",5.19614929815342,-0.40637308820218,-0.514303602584933,"coef","full"
"210",0.0631371506399483,0.030134918223419,0.0402254876517057,"se","full"
"211",5.19221223686559,-0.396052048509407,-0.520311866009149,"coef","weighted"
"212",0.0620112443600299,0.0285825069410785,0.0398777324078791,"se","weighted"
"213",NA,0.677295231676873,NA,"coef","coxfull"
"214",NA,0.0433912905986678,NA,"se","coxfull"
"215",NA,0.664090607886451,NA,"coef","coxweighted"
"216",NA,0.055211488995443,NA,"se","coxweighted"
"217",5.18961760338789,-0.416728979104041,-0.557834483052559,"coef","full"
"218",0.0638909036989318,0.0304710986571681,0.0410673097533333,"se","full"
"219",5.18864494215856,-0.379176424781131,-0.558916767751147,"coef","weighted"
"220",0.0648129859003323,0.0281220852730351,0.0426962642890864,"se","weighted"
"221",NA,0.728586749852034,NA,"coef","coxfull"
"222",NA,0.0453678719196465,NA,"se","coxfull"
"223",NA,0.6638504883665,NA,"coef","coxweighted"
"224",NA,0.0571324794933169,NA,"se","coxweighted"
"225",5.15482204110464,-0.37249671553318,-0.520733397797771,"coef","full"
"226",0.0602956434722809,0.0294138669693754,0.0394829814667562,"se","full"
"227",5.16243360287264,-0.368811185919308,-0.518096238005252,"coef","weighted"
"228",0.0585209056249604,0.027636134815822,0.0382913614797342,"se","weighted"
"229",NA,0.626682464568227,NA,"coef","coxfull"
"230",NA,0.0436980764374021,NA,"se","coxfull"
"231",NA,0.618625351709673,NA,"coef","coxweighted"
"232",NA,0.0556582858651017,NA,"se","coxweighted"
"233",5.05629894992648,-0.371574837390979,-0.617152166871958,"coef","full"
"234",0.0558342150413596,0.027232419637657,0.0395314311242005,"se","full"
"235",5.07728211586688,-0.366240665611813,-0.607646805025414,"coef","weighted"
